obs_id,season,day_of_week,operational_state,temperatura_c,ph,caudal_m3h,dbo5_mgl,dqo_mgl,dqo_dbo_ratio,nh4_mgl,od_mgl,adh_ugTTF_gVSS_h,toxicity_pct,adh_pct,od_pct,nh4_pct,bhi,bhi_label,decreto_674_dbo_compliant,decreto_674_nh4_compliant
22,autumn,Mon,healthy,20.58,7.282,26.0,46.7,67.77,1.451,9.71,4.289,1.1035,8.02,24.52,46.62,4.62,64.63,stressed,1,1
23,winter,Tue,stressed,8.57,6.925,32.87,143.51,280.17,1.952,54.27,0.76,0.2548,44.8,5.66,8.27,25.84,35.82,critical,0,0
24,spring,Wed,stressed,22.99,6.717,34.64,163.37,286.69,1.755,74.91,0.793,0.3839,31.02,8.53,8.62,35.67,37.62,critical,0,0
25,summer,Thu,stressed,27.0,6.095,25.96,175.73,293.45,1.67,48.1,0.179,0.4076,35.23,9.06,1.95,22.9,38.22,critical,0,0
26,autumn,Fri,critical,19.3,5.274,56.65,385.44,993.99,2.579,171.68,0.05,0.0678,71.71,1.51,0.54,81.75,12.15,critical,0,0
27,winter,Sat,healthy,11.05,7.327,13.93,10,16.63,1.663,1,4.386,0.9488,10.47,21.08,47.68,0.48,64.45,stressed,1,1
28,spring,Sun,healthy,22.93,7.165,13.62,28.45,43.57,1.532,1,6.492,1.9731,8.1,43.85,70.57,0.48,76.46,healthy,1,1
29,summer,Mon,stressed,27.64,7.018,31.23,138.59,249.61,1.801,51.74,2.281,0.7799,25.67,17.33,24.8,24.64,47.95,critical,0,0
30,autumn,Tue,stressed,20.6,6.79,51.65,115.9,235.44,2.031,97.3,0.821,0.3561,30.4,7.91,8.92,46.33,35.02,critical,0,0
31,winter,Wed,stressed,12.24,7.274,22.09,130.83,238.17,1.82,58.16,0.665,0.2896,41.3,6.44,7.23,27.7,36.17,critical,0,0
32,spring,Thu,healthy,22.59,7.159,16.81,41.96,70.84,1.688,12.27,6.331,2.8331,6.34,62.96,68.82,5.84,79.9,healthy,1,1
33,summer,Fri,healthy,27.45,7.259,9.96,21.59,36.38,1.685,2.4,6.467,1.7465,7.94,38.81,70.29,1.14,75.0,healthy,1,1
34,autumn,Sat,healthy,19.62,7.118,14.98,22.35,35.46,1.586,10.73,6.746,2.4215,7.32,53.81,73.32,5.11,78.68,healthy,1,1
35,winter,Sun,critical,10.43,5.094,42.39,203.33,476.02,2.341,127.94,0.05,0.0429,84.71,0.95,0.54,60.93,13.96,critical,0,0
36,spring,Mon,stressed,22.26,7.059,37.62,88.04,198.08,2.25,69.53,1.682,0.4433,46.81,9.85,18.29,33.11,37.05,critical,0,0
37,summer,Tue,healthy,26.38,7.1,17.16,40.32,67.52,1.674,6.95,6.018,1.8444,5.95,40.99,65.42,3.31,74.29,stressed,1,1
38,autumn,Wed,healthy,18.66,6.779,19.79,31.6,60.21,1.905,13.28,6.188,1.4709,12.16,32.69,67.26,6.32,70.37,stressed,1,1
39,winter,Thu,stressed,14.5,6.56,23.49,125.52,228.65,1.822,94.63,0.517,0.4493,18.94,9.98,5.62,45.06,37.9,critical,0,0
40,spring,Fri,critical,20.71,5.357,38.76,528.48,1078.09,2.04,105.18,0.05,0.1149,53.23,2.55,0.54,50.08,24.94,critical,0,0
41,summer,Sat,stressed,29.15,6.479,39.81,45,84.39,1.875,28.2,3.047,0.6308,49.05,14.02,33.12,13.43,46.17,critical,1,1
42,autumn,Sun,healthy,18.79,7.2,8.8,10,17.96,1.796,6.47,6.508,1.4629,6.39,32.51,70.74,3.08,73.44,stressed,1,1
43,winter,Mon,healthy,12.24,7.235,15.84,23.46,39.48,1.683,9.47,4.604,0.6883,3.76,15.29,50.05,4.51,64.27,stressed,1,1
44,spring,Tue,healthy,21.47,7.078,15.43,33.62,52.73,1.568,9.92,6.303,0.9599,10.81,21.33,68.51,4.72,68.58,stressed,1,1
45,summer,Wed,stressed,24.26,6.759,53.96,127.38,267.72,2.102,45.37,2.02,0.602,34.45,13.38,21.95,21.61,44.82,critical,0,0
46,autumn,Thu,critical,18.6,4.94,58.54,255.34,680.27,2.664,121.81,0.05,0.0613,56.51,1.36,0.54,58.0,21.85,critical,0,0
47,winter,Fri,critical,12.61,5.308,42.72,406.57,935.05,2.3,148.57,0.05,0.0475,78.75,1.06,0.54,70.75,13.03,critical,0,0
48,spring,Sat,stressed,18.64,6.826,14,87.39,185.74,2.125,20,2.359,0.6687,20.34,14.86,25.64,9.52,52.66,stressed,0,1
49,summer,Sun,healthy,27.69,6.936,6.74,10,15.76,1.576,1.17,6.063,1.6496,6.91,36.66,65.9,0.56,73.77,stressed,1,1
50,autumn,Mon,stressed,22.52,7.096,34.99,164.27,325.25,1.98,75.09,1.054,0.4191,37.83,9.31,11.45,35.76,36.8,critical,0,0
51,winter,Tue,stressed,12.89,6.797,48.67,116.65,217.82,1.867,81.86,0.485,0.2674,43.46,5.94,5.27,38.98,32.19,critical,0,0
52,spring,Wed,critical,26.0,4.5,56.66,470.43,1051.86,2.236,96.93,0.05,0.02,94.96,0.44,0.54,46.16,14.97,critical,0,0
53,summer,Thu,stressed,24.84,6.655,32.53,50.9,103.85,2.04,74.96,0.49,0.6045,43.44,13.43,5.32,35.7,34.9,critical,0,0
54,autumn,Fri,healthy,18.9,7.207,17.0,29.29,53.91,1.84,12.03,6.501,1.1273,8.88,25.05,70.66,5.73,70.28,stressed,1,1
55,winter,Sat,healthy,13.18,7.131,12.48,24.42,40.91,1.676,2.48,9.0,1.7757,10.75,39.46,97.83,1.18,81.34,healthy,1,1
56,spring,Sun,healthy,16.74,7.02,8.76,17.23,24.82,1.441,4.92,5.398,1.3777,4.04,30.62,58.68,2.34,70.73,stressed,1,1
57,summer,Mon,healthy,26.31,7.13,12.21,31.76,48.94,1.541,7.15,5.509,1.4688,6.68,32.64,59.88,3.41,70.61,stressed,1,1
58,autumn,Tue,healthy,22.19,7.059,15.97,31.86,56.67,1.779,12.02,6.838,2.1712,7.39,48.25,74.33,5.72,77.37,healthy,1,1
59,winter,Wed,healthy,12.5,7.091,17.17,37.54,63.6,1.694,9.3,5.224,0.8163,13.38,18.14,56.78,4.43,64.28,stressed,1,1
60,spring,Thu,critical,20.8,5.181,66.5,491.75,1232.55,2.506,135.18,0.05,0.0392,92.55,0.87,0.54,64.37,11.12,critical,0,0
61,summer,Fri,stressed,25.16,6.615,23.02,84.84,166.2,1.959,51.94,2.712,1.0619,32.59,23.6,29.48,24.73,48.94,critical,0,0
62,autumn,Sat,healthy,19.46,7.033,12.37,15.72,23.38,1.487,9.05,5.394,1.1627,12.59,25.84,58.63,4.31,66.89,stressed,1,1
63,winter,Sun,stressed,13.68,7.153,14,68.66,127.82,1.862,34.77,4.315,0.6128,34.81,13.62,46.9,16.56,52.29,stressed,0,1
64,spring,Mon,stressed,22.87,6.141,31.52,126.85,255.01,2.01,36.55,1.467,0.4328,15.39,9.62,15.94,17.4,48.19,critical,0,0
65,summer,Tue,stressed,31.57,6.76,29.8,81.55,153.49,1.882,46.99,2.283,0.6399,29.56,14.22,24.82,22.38,46.77,critical,0,0
66,autumn,Wed,healthy,15.67,7.087,15.27,36.11,60.81,1.684,1,5.04,1.3381,13.96,29.73,54.78,0.48,67.52,stressed,1,1
67,winter,Thu,critical,13.43,5.855,37.89,358.81,874.03,2.436,178.31,0.05,0.0584,60.52,1.3,0.54,84.91,14.1,critical,0,0
68,spring,Fri,healthy,18.66,7.197,12.85,22.98,34.71,1.511,5.94,8.433,2.1218,6.22,47.15,91.66,2.83,82.44,healthy,1,1
69,summer,Sat,critical,27.35,5.307,24.54,360.26,876.5,2.433,65,0.05,0.0762,67.7,1.69,0.54,30.95,25.9,critical,0,0
70,autumn,Sun,healthy,19.35,7.224,10.13,25.19,41.8,1.66,8.26,6.78,2.008,2.69,44.62,73.7,3.93,77.92,healthy,1,1
71,winter,Mon,stressed,8.99,6.902,44.3,105.16,201.81,1.919,37.75,2.005,0.2384,44.62,5.3,21.79,17.98,41.12,critical,0,0
72,spring,Tue,healthy,18.58,7.151,19.38,39.57,66.56,1.682,10.08,5.447,1.2545,12.84,27.88,59.21,4.8,67.36,stressed,1,1
73,summer,Wed,healthy,29.15,7.147,21.58,31.11,54.17,1.741,18.09,6.497,1.6992,17.69,37.76,70.62,8.62,70.52,stressed,1,1
74,autumn,Thu,stressed,18.9,7.183,36.47,170.29,361.49,2.123,56.24,0.823,0.344,32.04,7.64,8.95,26.78,39.44,critical,0,0
75,winter,Fri,critical,14.52,4.598,68.27,385.83,816.18,2.115,96.14,0.05,0.02,98,0.44,0.54,45.78,14.3,critical,0,0
76,spring,Sat,healthy,24.36,7.214,13.96,40.98,65.56,1.6,3.77,5.954,1.7053,13.71,37.9,64.72,1.8,71.78,stressed,1,1
77,summer,Sun,stressed,30.49,6.883,14,45,91.54,2.034,46.93,3.695,0.7455,36.29,16.57,40.16,22.35,49.52,critical,1,0
78,autumn,Mon,healthy,17.24,7.292,20.67,36.55,58.21,1.593,6.97,6.269,1.7983,9.45,39.96,68.14,3.32,73.83,stressed,1,1
79,winter,Tue,healthy,11.87,7.194,17.32,29.5,47.66,1.616,8.07,8.222,1.8697,14.38,41.55,89.37,3.84,78.17,healthy,1,1
80,spring,Wed,critical,18.15,5.608,42.7,486.58,1033.41,2.124,148.27,0.05,0.0385,83.69,0.86,0.54,70.61,11.78,critical,0,0
81,summer,Thu,healthy,28.53,7.404,22.95,27.81,49.5,1.78,7.24,4.952,1.4341,6.33,31.87,53.82,3.45,68.98,stressed,1,1
82,autumn,Fri,stressed,19.51,6.886,35.99,166.72,248.76,1.492,70.45,1.011,0.4469,29.85,9.93,10.99,33.55,39.38,critical,0,0
83,winter,Sat,healthy,11.25,7.016,10.63,32.99,54.82,1.662,12.57,5.664,1.0484,17.0,23.3,61.56,5.98,65.47,stressed,1,1
84,spring,Sun,stressed,26.51,6.946,14,86.36,180.4,2.089,51.68,2.764,0.6097,54.29,13.55,30.04,24.61,41.17,critical,0,0
85,summer,Mon,healthy,26.2,6.915,16.46,54.36,85.58,1.574,3.36,5.828,1.5511,10.44,34.47,63.35,1.6,71.44,stressed,0,1
86,autumn,Tue,stressed,18.35,6.265,32.79,185.06,377.67,2.041,67.82,0.812,0.6105,22.69,13.57,8.82,32.29,41.85,critical,0,0
87,winter,Wed,critical,9.73,5.947,38.72,372.81,867.75,2.328,160.39,0.05,0.028,72.15,0.62,0.54,76.38,13.16,critical,0,0
88,spring,Thu,healthy,19.12,7.062,21.46,51.92,91.65,1.765,6.64,6.542,2.1066,11.51,46.81,71.11,3.16,75.81,healthy,0,1
89,summer,Fri,stressed,27.78,7.485,35.04,77.2,169.49,2.195,20,0.636,0.4463,37.25,9.92,6.91,9.52,42.51,critical,0,1
90,autumn,Sat,stressed,16.41,7.334,20.51,123.55,256.42,2.075,20.61,1.164,0.3326,24.42,7.39,12.66,9.82,46.45,critical,0,1
91,winter,Sun,healthy,11.99,7.158,6,10,15.66,1.566,7.21,6.8,1.2674,1,28.16,73.92,3.43,74.41,stressed,1,1
92,spring,Mon,healthy,20.24,7.21,20.04,40.27,69.95,1.737,11.42,6.733,1.5129,5.16,33.62,73.18,5.44,74.05,stressed,1,1
93,summer,Tue,healthy,26.99,7.078,19.96,29.54,49.34,1.67,10.75,6.255,1.9343,5.99,42.98,67.99,5.12,74.97,stressed,1,1
94,autumn,Wed,critical,19.24,5.752,58.64,368.49,817.67,2.219,116.55,0.05,0.1163,63.0,2.58,0.54,55.5,21.16,critical,0,0
95,winter,Thu,stressed,9.78,6.525,40.78,68.76,130.72,1.901,35.16,2.225,0.2306,38.59,5.12,24.18,16.74,43.49,critical,0,0
96,spring,Fri,healthy,23.8,7.206,13.89,44.86,78.02,1.739,12.52,5.962,2.3851,4.33,53.0,64.81,5.96,76.88,healthy,1,1
97,summer,Sat,critical,32.45,6.025,35.84,429.19,973.68,2.269,80.1,0.05,0.0799,79.17,1.78,0.54,38.14,21.25,critical,0,0
98,autumn,Sun,healthy,20.42,7.2,8.98,18.33,28.9,1.576,7.57,6.443,1.7603,5.5,39.12,70.03,3.6,75.01,healthy,1,1
99,winter,Mon,healthy,13.21,7.21,25.85,27.91,41.79,1.497,9.21,6.54,1.2633,11.21,28.07,71.09,4.38,70.89,stressed,1,1
100,spring,Tue,healthy,21.66,6.961,15.03,49.81,83.25,1.671,7.89,6.69,2.3437,5.6,52.08,72.72,3.76,78.86,healthy,1,1
101,summer,Wed,healthy,30.31,6.871,22.1,17.37,30.48,1.755,10.88,7.479,1.5947,10.49,35.44,81.29,5.18,75.27,healthy,1,1
102,autumn,Thu,healthy,18.75,6.798,28.28,25.62,43.3,1.69,1,6.391,1.8555,5.3,41.23,69.46,0.48,76.23,healthy,1,1
103,winter,Fri,critical,8.08,5.487,43.14,387.2,944.34,2.439,145.68,0.05,0.0568,67.6,1.26,0.54,69.37,16.21,critical,0,0
104,spring,Sat,healthy,21.61,7.372,15.03,41.83,66.16,1.582,2.03,5.645,1.8079,4.2,40.17,61.36,0.97,74.09,stressed,1,1
105,summer,Sun,stressed,30.24,6.966,14,98.12,190.03,1.937,20,2.946,0.583,42.17,12.96,32.02,9.52,48.32,critical,0,1
106,autumn,Mon,healthy,19.05,7.097,23.57,31.93,52.05,1.63,4.18,5.958,2.1804,9.72,48.45,64.76,1.99,75.38,healthy,1,1
107,winter,Tue,stressed,9.88,6.776,35.92,83.29,146.23,1.756,56.25,1.79,0.4053,33.32,9.01,19.46,26.78,42.09,critical,0,0
108,spring,Wed,critical,23.2,5.91,77.21,447.32,1291.42,2.887,113.4,0.05,0.1021,61.52,2.27,0.54,54.0,21.82,critical,0,0
109,summer,Thu,critical,34.18,4.711,68.07,404.65,913.71,2.258,131.34,0.05,0.0254,62.06,0.56,0.54,62.54,19.13,critical,0,0
110,autumn,Fri,stressed,19.42,7.117,26.68,77.05,149.7,1.943,74.02,2.947,0.5827,26.8,12.95,32.03,35.25,45.73,critical,0,0
111,winter,Sat,stressed,12.17,7.274,21.08,104.53,192.07,1.838,50.2,1.209,0.2833,48.54,6.3,13.14,23.9,36.75,critical,0,0
112,spring,Sun,stressed,20.86,6.0,25.53,45,96.68,2.148,20,2.131,0.3858,15,8.57,23.16,9.52,51.8,stressed,1,1
113,summer,Mon,stressed,30.38,7.002,28.04,186.85,353.38,1.891,64.51,1.408,0.3658,24.0,8.13,15.3,30.72,42.18,critical,0,0
114,autumn,Tue,critical,21.23,4.962,65.64,286.32,684.01,2.389,210,0.05,0.0476,81.37,1.06,0.54,100,5.06,critical,0,0
115,winter,Wed,healthy,16.92,7.362,20.26,41.67,66.45,1.595,14.31,6.291,1.4505,7.3,32.23,68.38,6.82,71.62,stressed,1,1
116,spring,Thu,critical,22.13,5.074,64.46,596.8,1583.87,2.654,105.57,0.05,0.0653,74.45,1.45,0.54,50.27,19.32,critical,0,0
117,summer,Fri,healthy,32.35,7.207,22.76,29.46,44.5,1.511,10.33,6.787,1.9158,6.16,42.57,73.77,4.92,76.32,healthy,1,1
118,autumn,Sat,healthy,22.18,6.945,19.83,10,17.03,1.703,1.96,4.861,0.9968,3.49,22.15,52.84,0.93,67.64,stressed,1,1
119,winter,Sun,stressed,9.74,6.628,24.11,45,99.6,2.213,45.04,1.424,0.4203,38.43,9.34,15.48,21.45,41.24,critical,1,0
120,spring,Mon,healthy,22.81,7.19,16.77,29.19,44.45,1.523,9.6,6.65,2.4914,5.19,55.37,72.28,4.57,79.47,healthy,1,1
121,summer,Tue,healthy,30.42,7.146,21.24,48.82,77.21,1.582,4.34,6.042,1.9454,6.71,43.23,65.67,2.07,75.03,healthy,1,1
122,autumn,Wed,healthy,20.1,7.28,24.33,36.52,57.1,1.564,11.26,6.348,1.3241,7.42,29.43,69.0,5.36,71.41,stressed,1,1
123,winter,Thu,healthy,11.7,6.904,14.89,28.07,42.98,1.531,19.59,5.659,1.1685,13.18,25.97,61.52,9.33,66.24,stressed,1,1
124,spring,Fri,healthy,20.47,7.2,13.23,28.39,45.4,1.599,16.22,7.703,2.9122,5.0,64.72,83.73,7.73,83.93,healthy,1,1
125,summer,Sat,healthy,30.43,7.155,14.75,36.64,56.67,1.547,3.39,8.391,2.6516,1,58.93,91.2,1.62,86.88,healthy,1,1
126,autumn,Sun,healthy,20.64,6.933,11.45,10,15.63,1.563,4.12,6.772,2.5113,8.81,55.81,73.61,1.96,79.66,healthy,1,1
127,winter,Mon,stressed,10.8,6.947,26.77,154.72,325.53,2.104,73.3,0.974,0.3252,55.76,7.23,10.59,34.91,31.79,critical,0,0
128,spring,Tue,healthy,18.98,7.509,22.29,33.27,50.23,1.51,8.31,7.26,1.4587,1.88,32.42,78.91,3.96,76.37,healthy,1,1
129,summer,Wed,stressed,30.77,6.379,47.78,168.36,337.91,2.007,57.75,1.081,0.4772,37.29,10.6,11.74,27.5,39.39,critical,0,0
130,autumn,Thu,healthy,21.21,7.075,18.97,28.97,49.99,1.726,8.86,6.505,2.3973,5.06,53.27,70.71,4.22,78.67,healthy,1,1
131,winter,Fri,stressed,11.79,6.668,40.16,136.87,265.08,1.937,72.87,2.633,0.4551,32.04,10.11,28.62,34.7,43.0,critical,0,0
132,spring,Sat,healthy,22.15,6.991,7.03,28.61,44.32,1.549,6.81,6.501,2.0343,6.68,45.21,70.66,3.24,76.49,healthy,1,1
133,summer,Sun,critical,23.58,5.525,20,299.33,584.54,1.953,87.11,0.05,0.0773,61.29,1.72,0.54,41.48,24.87,critical,0,0
134,autumn,Mon,healthy,21.53,7.425,24.02,23.75,39.43,1.66,4.15,5.899,2.3302,5.3,51.78,64.12,1.98,77.16,healthy,1,1
135,winter,Tue,stressed,10.13,6.671,33.09,193.22,249.64,1.292,53.23,0.227,0.308,32.42,6.84,2.47,25.35,37.89,critical,0,0
136,spring,Wed,healthy,20.16,7.359,20.97,28.25,48.32,1.711,10.9,7.374,1.3823,10.53,30.72,80.15,5.19,73.79,stressed,1,1
137,summer,Thu,critical,24.16,6.058,43.86,217.47,495.02,2.276,116.23,0.05,0.0712,78.58,1.58,0.54,55.35,17.05,critical,0,0
138,autumn,Fri,healthy,22.77,7.225,25.73,26.2,42.27,1.613,8.72,6.997,1.9963,3.42,44.36,76.05,4.15,78.21,healthy,1,1
139,winter,Sat,healthy,10.54,7.226,23.03,35.69,65.67,1.84,7.03,7.791,1.212,8.28,26.93,84.68,3.35,75.0,healthy,1,1
140,spring,Sun,healthy,20.28,7.246,6,10,17.08,1.708,1.46,4.325,1.2115,1.89,26.92,47.01,0.69,67.84,stressed,1,1
141,summer,Mon,stressed,27.15,6.603,37.07,141.82,268.71,1.895,88.79,0.072,0.4158,37.46,9.24,0.78,42.28,32.57,critical,0,0
142,autumn,Tue,stressed,20.81,7.067,28.8,145.82,256.12,1.756,82.56,1.68,0.5808,31.4,12.91,18.27,39.31,40.11,critical,0,0
143,winter,Wed,healthy,15.14,7.262,23.53,36.71,57.58,1.569,3.26,8.128,1.2298,11.26,27.33,88.35,1.55,75.72,healthy,1,1
144,spring,Thu,healthy,21.39,7.113,17.82,51.01,90.82,1.78,2.36,6.688,2.1137,9.11,46.97,72.69,1.12,77.36,healthy,0,1
145,summer,Fri,healthy,28.11,7.215,21.11,25.52,43.59,1.709,3.11,6.742,1.879,14.7,41.75,73.28,1.48,74.71,stressed,1,1
146,autumn,Sat,healthy,21.07,7.081,10.25,30.84,51.61,1.673,5.93,7.608,2.0397,15.67,45.33,82.69,2.83,77.38,healthy,1,1
147,winter,Sun,healthy,14.21,7.119,9.87,10,15.77,1.577,8.71,6.383,1.4581,7.69,32.4,69.38,4.15,72.49,stressed,1,1
148,spring,Mon,healthy,17.36,7.273,17.78,23.67,39.13,1.653,8.26,6.356,1.8522,9.6,41.16,69.08,3.93,74.18,stressed,1,1
149,summer,Tue,healthy,27.72,7.398,20.31,54.88,87.71,1.598,1,6.448,1.3218,9.69,29.37,70.09,0.48,72.32,stressed,0,1
150,autumn,Wed,stressed,18.37,6.073,21.69,154.1,286.77,1.861,106.26,0.396,0.48,34.4,10.67,4.3,50.6,32.49,critical,0,0
151,winter,Thu,healthy,13.31,7.131,21.39,43.5,69.22,1.591,14.41,4.542,0.8713,2.94,19.36,49.37,6.86,64.73,stressed,1,1
152,spring,Fri,stressed,22.46,7.224,37.28,121.02,233.19,1.927,27.49,2.856,0.6212,28.68,13.8,31.04,13.09,50.77,stressed,0,1
153,summer,Sat,stressed,29.07,7.102,24.48,45,90.62,2.014,46.49,2.626,0.6986,40.03,15.52,28.54,22.14,45.47,critical,1,0
154,autumn,Sun,stressed,20.83,6.922,14,75.94,193.48,2.548,20,3.93,0.868,19.64,19.29,42.72,9.52,58.21,stressed,0,1
155,winter,Mon,healthy,11.67,7.42,23.29,39.05,69.18,1.772,15.61,7.321,1.4475,10.12,32.17,79.58,7.43,73.55,stressed,1,1
156,spring,Tue,healthy,22.21,7.073,18.72,36.82,62.12,1.687,15.69,7.195,2.1068,9.86,46.82,78.21,7.47,76.92,healthy,1,1
157,summer,Wed,healthy,29.26,7.212,21.48,17.54,27.83,1.586,9.51,4.907,1.4385,8.23,31.97,53.34,4.53,68.14,stressed,1,1
158,autumn,Thu,critical,19.76,4.717,24.9,550.73,1228.51,2.231,175.01,0.05,0.0492,65.07,1.09,0.54,83.34,13.31,critical,0,0
159,winter,Fri,stressed,15.91,6.317,24.14,114.36,273.75,2.394,89.22,2.139,0.4049,48.57,9.0,23.25,42.49,35.3,critical,0,0
160,spring,Sat,healthy,22.67,7.235,7.63,30.4,48.85,1.607,2.95,6.399,1.7041,14.45,37.87,69.55,1.4,72.89,stressed,1,1
161,summer,Sun,stressed,29.79,6.974,14,93.18,179.93,1.931,44.39,1.85,0.3478,47.18,7.73,20.11,21.14,39.88,critical,0,0
162,autumn,Mon,healthy,19.6,7.121,21.9,37.08,65.18,1.758,11.49,5.068,1.3045,10.35,28.99,55.09,5.47,67.06,stressed,1,1
163,winter,Tue,healthy,16.19,7.163,12.59,30.3,49.48,1.633,10.69,5.849,1.3206,15.46,29.35,63.57,5.09,68.09,stressed,1,1
164,spring,Wed,critical,23.22,5.129,43.24,557.45,1379.3,2.474,147.45,0.05,0.0447,84.25,0.99,0.54,70.21,11.77,critical,0,0
165,summer,Thu,stressed,30.73,6.679,21.38,113.23,237.72,2.099,43.31,1.384,0.3962,26.83,8.81,15.05,20.62,44.1,critical,0,0
166,autumn,Fri,critical,20.23,5.811,49.0,447.32,1021.42,2.283,143.87,0.05,0.0259,81.72,0.58,0.54,68.51,12.72,critical,0,0
167,winter,Sat,healthy,13.21,7.328,14.6,32.4,56.98,1.758,6.62,6.73,1.5496,1.89,34.43,73.16,3.15,75.64,healthy,1,1
168,spring,Sun,stressed,17.99,7.238,14,45,99.9,2.22,33.81,1.866,0.9006,23.99,20.01,20.28,16.1,50.05,stressed,1,1
169,summer,Mon,stressed,28.53,6.609,54.48,151.11,274.25,1.815,70.53,0.968,0.4063,53.91,9.03,10.52,33.59,33.01,critical,0,0
170,autumn,Tue,healthy,21.13,7.313,17.38,53.57,85.75,1.601,5.46,5.661,1.1309,9.59,25.13,61.53,2.6,68.62,stressed,0,1
171,winter,Wed,stressed,11.9,6.799,36.9,199.97,370.55,1.853,67.83,0.874,0.3317,48.97,7.37,9.5,32.3,33.9,critical,0,0
172,spring,Thu,stressed,20.87,6.84,31.93,125.85,260.3,2.068,36.72,1.336,0.5686,39.66,12.64,14.52,17.49,42.5,critical,0,0
173,summer,Fri,stressed,29.54,6.624,29.3,172.39,322.26,1.869,60.11,1.454,0.5153,21.8,11.45,15.81,28.62,44.21,critical,0,0
174,autumn,Sat,critical,21.64,6.122,20,363.5,801.88,2.206,143.98,0.05,0.0639,92.6,1.42,0.54,68.56,10.2,critical,0,0
175,winter,Sun,healthy,12.8,7.244,6,10,18.08,1.808,1,6.018,1.2828,5.07,28.51,65.41,0.48,72.09,stressed,1,1
176,spring,Mon,healthy,24.0,6.883,20.95,50.74,82.59,1.628,10.99,5.673,1.7194,6.09,38.21,61.66,5.23,72.14,stressed,0,1
177,summer,Tue,healthy,27.36,7.127,18.99,49.73,85.05,1.71,7.71,6.211,2.4047,6.64,53.44,67.51,3.67,77.66,healthy,1,1
